day,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,13.83
24,13.83
25,13.83
26,13.83
27,13.83
28,13.83
29,13.83
30,13.83
31,13.83
32,13.83
33,13.83
34,13.83
35,13.83
36,23.62
37,114.7
38,114.7
39,114.7
40,114.7
41,114.7
42,121.87
43,121.87
44,121.87
45,121.87
46,128.37
47,128.37
48,265.14
49,276.42
50,290.42
51,349.56
52,430.05
53,481.83
54,481.83
55,481.83
56,481.83
57,481.83
58,481.83
59,481.83
60,481.83
61,481.83
62,481.83
63,685.24
64,771.97
65,771.97
66,771.97
67,788.73
68,788.73
69,805.82
70,997.74
71,997.74
72,1007.98
73,1007.98
74,1016.62
75,1042.17
76,1042.17
77,1042.17
78,1042.17
79,1042.17
80,1110.38
81,1110.38
82,1191.76
83,1202.86
84,1202.86
85,1232.22
86,1232.22
87,1232.22
88,1232.22
89,1392.01
90,1397.76
91,1397.76
92,1493.79
